SCRIPT_SECTION,DISTANCE_TIER,CHARACTER,MATCH_COUNT
89,3,FINN,271
89,3,REY,46
82,2,KYLO REN,228
47,4,POE,397
250,4,MAZ,26
397,3,HAN,255
382,3,HAN,760
87,3,FINN,78
194,2,HAN,5
195,2,HAN,9
409,0,FINN,144
224,0,REY,638
448,3,JESS,243
60,4,GENERAL HUX,26
60,4,LIEUTENANT MITAKA,51
236,1,HAN,9
272,5,FINN,104
433,5,HAN,291
293,1,REY,149
425,3,REY,48
190,0,REY,183
190,0,HAN,26
306,2,HAN,584
294,2,REY,166
109,0,REY,31
319,2,LEIA,260
319,2,POE,49
210,3,HAN,122
210,3,REY,7
26,1,REY,129
369,1,POE,48
370,1,POE,246
224,4,REY,783
46,3,FN-2187,165
41,4,FN-2187,8
42,3,FN-2187,82
42,3,POE,21
280,3,MAZ,365
68,3,POE,197
69,3,FINN,132
48,0,POE,89
49,2,POE,27
118,5,FINN,163
118,5,REY,134
224,2,REY,768
224,5,REY,585
25,5,REY,279
88,4,FINN,165
405,2,FINN,128
327,3,LEIA,181
251,0,HAN,43
294,3,HAN,24
104,2,FINN,237
368,2,SNAP,6
369,2,SNAP,31
142,0,REY,14
142,0,FINN,28
142,2,REY,48
86,5,FINN,218
87,5,FINN,245
159,5,FINN,164
256,3,MAZ,161
458,4,SNOKE,120
288,2,REY,397
113,3,REY,186
113,1,REY,127
434,2,KYLO REN,286
266,1,FINN,404
354,1,REY,345
41,4,POE,9
90,5,FINN,85
90,5,REY,40
91,5,REY,46
9,2,LOR SAN TEKKA,141
17,2,KYLO REN,300
272,3,FINN,189
272,1,FINN,378
247,3,BAZINE,23
247,3,KYLO REN,114
16,5,KYLO REN,482
179,0,BALA-TIK,389
226,0,FINN,210
86,3,REY,267
29,1,KYLO REN,265
226,5,FINN,424
31,4,KYLO REN,303
223,3,HAN,26
169,2,HAN,481
33,0,KYLO REN,207
33,0,GENERAL HUX,37
81,0,GENERAL HUX,257
199,0,GENERAL HUX,214
200,0,GENERAL HUX,179
356,0,SNOKE,440
252,4,HAN,340
236,5,REY,456
247,1,BAZINE,3
258,5,FINN,148
259,5,HAN,437
408,5,HAN,18
408,5,CAPTAIN PHASMA,113
10,2,POE,51
10,2,LOR SAN TEKKA,123
398,2,FINN,859
268,4,FINN,42
268,3,FINN,124
189,3,REY,74
144,4,HAN,9
145,4,HAN,14
145,4,REY,43
66,2,FINN,175
107,1,REY,200
107,1,FINN,92
108,1,FINN,48
255,3,MAZ,302
319,0,LEIA,129
319,0,POE,20
255,0,MAZ,264
161,1,HAN,19
162,1,HAN,24
299,1,HAN,3
299,1,POE,1
295,2,MAZ,86
295,3,MAZ,49
201,3,GENERAL HUX,177
68,0,POE,176
69,0,FINN,827
384,1,HAN,469
220,2,HAN,107
339,3,LEIA,33
339,3,HAN,26
237,4,HAN,89
238,4,HAN,82
345,2,KYLO REN,24
345,2,REY,38
290,5,REY,60
290,5,MAZ,27
408,0,HAN,9
408,0,CAPTAIN PHASMA,220
329,2,C-3PO,180
316,3,POE,460
237,2,HAN,129
238,2,HAN,49
95,1,FINN,75
